id,full_name,team,position,total_points,matches_played,value,ppm,points_per_match
506,Micky van de Ven,Spurs,DEF,81,26,4.5,0.05555555555555555,3.1153846153846154
507,Alejo Véliz,Spurs,FWD,11,0,5.0,0.45454545454545453,inf
508,Guglielmo Vicario,Spurs,GKP,112,38,4.9,0.043750000000000004,2.9473684210526314
509,Timo Werner,Spurs,MID,46,8,6.2,0.13478260869565217,5.75
510,Alfie Whiteman,Spurs,GKP,0,0,4.0,inf,
610,Mikey Moore,Spurs,MID,2,0,4.5,2.25,inf
612,Wilson Odobert,Spurs,MID,82,23,5.3,0.06463414634146342,3.5652173913043477
388,Aaron Wan-Bissaka,West Ham,DEF,47,19,4.6,0.0978723404255319,2.473684210526316
511,Edson Álvarez Velázquez,West Ham,MID,62,26,5.0,0.08064516129032258,2.3846153846153846
512,Michail Antonio,West Ham,FWD,78,18,5.4,0.06923076923076923,4.333333333333333
513,Alphonse Areola,West Ham,GKP,116,30,4.2,0.03620689655172414,3.8666666666666667
514,Jarrod Bowen,West Ham,MID,182,33,7.4,0.04065934065934066,5.515151515151516
516,Vladimír Coufal,West Ham,DEF,85,34,4.2,0.049411764705882356,2.5
517,Aaron Cresswell,West Ham,DEF,10,4,4.0,0.4,2.5
519,George Earthy,West Ham,MID,8,0,4.5,0.5625,inf
520,Emerson Palmieri dos Santos,West Ham,DEF,82,34,4.4,0.05365853658536586,2.411764705882353
521,Łukasz Fabiański,West Ham,GKP,24,8,4.1,0.1708333333333333,3.0
522,Wes Foderingham,West Ham,GKP,70,29,4.3,0.06142857142857142,2.413793103448276
523,Danny Ings,West Ham,FWD,36,4,5.0,0.1388888888888889,9.0
524,Max Kilman,West Ham,DEF,82,38,4.5,0.054878048780487805,2.1578947368421053
525,Mohammed Kudus,West Ham,MID,137,27,6.2,0.04525547445255475,5.074074074074074
527,Lucas Tolentino Coelho de Lima,West Ham,MID,100,29,5.7,0.057,3.4482758620689653
528,Konstantinos Mavropanos,West Ham,DEF,40,16,4.4,0.11000000000000001,2.5
529,Nayef Aguerd,West Ham,DEF,36,20,4.4,0.12222222222222223,1.8
530,Tomáš Souček,West Ham,MID,116,31,4.9,0.04224137931034483,3.7419354838709675
532,Kurt Zouma,West Ham,DEF,76,31,4.4,0.05789473684210527,2.4516129032258065
643,Kaelan Casey,West Ham,DEF,1,0,4.0,4.0,inf
677,Ollie Scarles,West Ham,DEF,0,0,4.0,inf,
204,Sam Johnstone,Wolves,GKP,68,19,4.3,0.06323529411764706,3.5789473684210527
533,Rayan Aït-Nouri,Wolves,DEF,77,25,4.9,0.06363636363636364,3.08
534,Boubacar Traoré,Wolves,MID,25,8,4.8,0.192,3.125
535,Jean-Ricner Bellegarde,Wolves,MID,45,10,5.0,0.1111111111111111,4.5
536,Daniel Bentley,Wolves,GKP,18,4,4.0,0.2222222222222222,4.5
537,Francisco Jorge Tomás Oliveira,Wolves,MID,0,0,4.5,inf,
538,Tawanda Chirewa,Wolves,MID,8,1,4.5,0.5625,8.0
539,Leon Chiwome,Wolves,FWD,5,1,4.5,0.9,5.0
