name,predict,position,team,value,PPM,adjusted_predict,selected,cost
Dean Huijsen,7.813265305989988,DEF,Bournemouth,44.00000000000001,1.7757421149977244,7.813265305989988,1,4.4
Nikola Milenković,6.293921922726075,DEF,Nott'm Forest,46.00000000000001,1.3682438962447987,6.293921922726075,1,4.6000000000000005
Lewis Hall,5.9966653523159135,DEF,Newcastle,47.0,1.2758862451735986,5.9966653523159135,1,4.7
Ola Aina,6.0734598196639125,DEF,Nott'm Forest,50.0,1.2146919639327824,6.0734598196639125,1,5.0
William Saliba,6.445641628613632,DEF,Arsenal,63.00000000000001,1.0231177188275606,6.445641628613632,1,6.300000000000001
Alexander Isak,11.991276948005137,FWD,Newcastle,91.00000000000001,1.3177227415390258,11.991276948005137,1,9.100000000000001
Matheus Santos Carneiro Da Cunha,8.321978523229214,FWD,Wolves,71.0,1.1721096511590443,8.321978523229214,1,7.1
Cody Gakpo,6.0736177527111535,FWD,Liverpool,72.0,0.8435580212098824,6.0736177527111535,1,7.2
Jordan Pickford,8.72900401931217,GKP,Everton,49.0,1.781429391696361,8.72900401931217,1,4.9
Kepa Arrizabalaga,6.356115922314869,GKP,Bournemouth,45.00000000000001,1.4124702049588596,6.356115922314869,1,4.500000000000001
Jacob Murphy,9.535640709897214,MID,Newcastle,50.0,1.9071281419794428,9.535640709897214,1,5.0
Anthony Elanga,7.094373994477851,MID,Nott'm Forest,51.00000000000001,1.3910537244074217,7.094373994477851,1,5.1000000000000005
Ismaïla Sarr,6.815151312089212,MID,Crystal Palace,58.0,1.1750260882912436,6.815151312089212,1,5.8
Mohamed Salah,13.357554167029392,MID,Liverpool,135.0,0.989448456816992,13.357554167029392,1,13.5
Cole Palmer,8.001615509867468,MID,Chelsea,113.00000000000001,0.7081075672449086,8.001615509867468,1,11.3
