id,full_name,team,position,total_points,matches_played,value,points_per_match,ppm
632,Chiedozie Ogbene,Ipswich,MID,7,2,4.9,3.5,0.7142857142857142
117,Facundo Buonanotte,Leicester,MID,52,10,4.9,5.2,1.0612244897959184
192,Jordan Ayew,Leicester,MID,45,9,5.2,5.0,0.9615384615384615
198,Odsonne Edouard,Leicester,FWD,7,1,5.1,7.0,1.3725490196078431
285,Boubakary Soumaré,Leicester,MID,12,7,4.4,1.7142857142857142,0.3896103896103896
286,Tom Cannon,Leicester,FWD,0,0,4.5,,
287,Hamza Choudhury,Leicester,MID,3,1,4.3,3.0,0.6976744186046512
288,Conor Coady,Leicester,DEF,5,6,4.0,0.8333333333333334,0.20833333333333334
289,Patson Daka,Leicester,FWD,13,2,4.8,6.5,1.3541666666666667
290,Bobby De Cordova-Reid,Leicester,MID,28,3,5.2,9.333333333333334,1.794871794871795
291,Wout Faes,Leicester,DEF,26,13,4.0,2.0,0.5
292,Michael Golding,Leicester,MID,0,0,4.4,,
293,Mads Hermansen,Leicester,GKP,38,15,4.5,2.533333333333333,0.5629629629629629
294,Daniel Iversen,Leicester,GKP,0,0,3.9,,
295,James Justin,Leicester,DEF,36,16,4.3,2.25,0.5232558139534884
296,Victor Kristiansen,Leicester,DEF,22,15,4.5,1.4666666666666666,0.3259259259259259
297,Wanya Marçal-Madivádua,Leicester,MID,0,0,4.5,,
298,Stephy Mavididi,Leicester,MID,41,10,5.1,4.1,0.803921568627451
299,Kasey McAteer,Leicester,MID,17,3,4.7,5.666666666666667,1.2056737588652482
300,Wilfred Ndidi,Leicester,MID,37,13,4.9,2.8461538461538463,0.5808477237048666
301,Caleb Okoli,Leicester,DEF,15,8,4.0,1.875,0.46875
302,Ricardo Barbosa Pereira,Leicester,DEF,2,1,4.1,2.0,0.48780487804878053
303,Harry Souttar,Leicester,DEF,0,0,4.0,,
304,Jakub Stolarczyk,Leicester,GKP,2,1,4.0,2.0,0.5
305,Luke Thomas,Leicester,DEF,0,1,3.9,0.0,0.0
306,Jamie Vardy,Leicester,FWD,69,14,5.6,4.928571428571429,0.8801020408163266
307,Jannik Vestergaard,Leicester,DEF,5,8,4.0,0.625,0.15625
308,Danny Ward,Leicester,GKP,2,1,4.0,2.0,0.5
309,Harry Winks,Leicester,MID,26,10,4.5,2.6,0.5777777777777778
501,Oliver Skipp,Leicester,MID,15,7,4.8,2.142857142857143,0.44642857142857145
570,Abdul Fatawu,Leicester,MID,26,6,5.2,4.333333333333333,0.8333333333333333
606,Will Alves,Leicester,MID,0,0,4.5,,
616,Ben Nelson,Leicester,DEF,0,0,4.0,,
635,Bilal El Khannouss,Leicester,MID,31,6,4.8,5.166666666666667,1.076388888888889
694,Henry Cartwright,Leicester,MID,0,0,4.5,,
310,Alisson Ramses Becker,Liverpool,GKP,39,8,5.4,4.875,0.9027777777777777
311,Trent Alexander-Arnold,Liverpool,DEF,68,13,7.1,5.230769230769231,0.7367280606717227
312,Stefan Bajčetić Maquieira,Liverpool,MID,0,0,4.5,,
313,Conor Bradley,Liverpool,DEF,11,2,4.7,5.5,1.1702127659574468
315,Bobby Clark,Liverpool,MID,0,0,4.5,,
316,Darwin Núñez Ribeiro,Liverpool,FWD,33,7,7.1,4.714285714285714,0.6639839034205232
317,Diogo Teixeira da Silva,Liverpool,MID,45,5,7.2,9.0,1.25
318,Ben Doak,Liverpool,MID,0,0,4.5,,
319,Harvey Elliott,Liverpool,MID,5,0,5.2,inf,inf
320,Endo Wataru,Liverpool,MID,7,0,4.6,inf,inf
321,Cody Gakpo,Liverpool,FWD,56,9,7.2,6.222222222222222,0.8641975308641975
322,Joe Gomez,Liverpool,DEF,13,5,4.9,2.6,0.5306122448979592
323,Ryan Gravenberch,Liverpool,MID,41,16,5.0,2.5625,0.5125
324,Curtis Jones,Liverpool,MID,48,8,5.3,6.0,1.1320754716981132
325,Caoimhin Kelleher,Liverpool,GKP,37,8,4.4,4.625,1.0511363636363635
326,Ibrahima Konaté,Liverpool,DEF,46,10,5.1,4.6,0.9019607843137255
327,Luis Díaz,Liverpool,MID,86,10,7.5,8.6,1.1466666666666667
328,Mohamed Salah,Liverpool,MID,186,16,13.5,11.625,0.8611111111111112
329,Alexis Mac Allister,Liverpool,MID,40,12,6.2,3.3333333333333335,0.5376344086021505
330,James McConnell,Liverpool,MID,0,0,4.4,,
331,Tyler Morton,Liverpool,MID,0,0,4.4,,
332,Nathaniel Phillips,Liverpool,DEF,0,0,4.0,,
333,Jarell Quansah,Liverpool,DEF,3,1,3.9,3.0,0.7692307692307693
334,Rhys Williams,Liverpool,DEF,0,0,4.0,,
335,Andrew Robertson,Liverpool,DEF,46,13,5.9,3.5384615384615383,0.5997392438070404
336,Dominik Szoboszlai,Liverpool,MID,60,12,6.3,5.0,0.7936507936507937
337,Konstantinos Tsimikas,Liverpool,DEF,14,2,4.6,7.0,1.5217391304347827
339,Virgil van Dijk,Liverpool,DEF,68,17,6.5,4.0,0.6153846153846154
636,Federico Chiesa,Liverpool,MID,1,0,6.8,inf,inf
660,Vítezslav Jaros,Liverpool,GKP,1,0,4.0,inf,inf
669,Harvey Davies,Liverpool,GKP,0,0,4.0,,
688,Treymaurice Nyoni,Liverpool,MID,0,0,4.5,,
692,Amara Nallo,Liverpool,DEF,0,0,4.0,,
340,Manuel Akanji,Man City,DEF,26,13,5.3,2.0,0.37735849056603776
341,Nathan Aké,Man City,DEF,11,4,5.3,2.75,0.5188679245283019
342,Bernardo Veiga de Carvalho e Silva,Man City,MID,62,16,6.3,3.875,0.6150793650793651
343,Oscar Bobb,Man City,MID,0,0,4.7,,
344,Scott Carson,Man City,GKP,0,0,4.0,,
345,Kevin De Bruyne,Man City,MID,43,7,9.5,6.142857142857143,0.6466165413533835
346,Jérémy Doku,Man City,MID,46,7,6.2,6.571428571428571,1.0599078341013823
347,Ederson Santana de Moraes,Man City,GKP,34,13,5.3,2.6153846153846154,0.49346879535558785
348,Phil Foden,Man City,MID,32,9,9.2,3.5555555555555554,0.3864734299516908
349,Jack Grealish,Man City,MID,23,6,6.4,3.8333333333333335,0.5989583333333334
350,Joško Gvardiol,Man City,DEF,66,16,6.0,4.125,0.6875
351,Erling Haaland,Man City,FWD,102,17,14.8,6.0,0.4054054054054054
352,Julián Álvarez,Man City,FWD,0,0,7.0,,
353,João Cavaco Cancelo,Man City,DEF,0,0,5.3,,
354,Mateo Kovačić,Man City,MID,50,11,5.4,4.545454545454546,0.8417508417508418
355,Rico Lewis,Man City,DEF,38,13,4.6,2.923076923076923,0.6354515050167224
356,Matheus Luiz Nunes,Man City,MID,28,5,4.9,5.6,1.1428571428571428
357,James McAtee,Man City,MID,2,0,4.6,inf,inf
358,Stefan Ortega Moreno,Man City,GKP,14,5,5.2,2.8,0.5384615384615384
360,Rodrigo 'Rodri' Hernandez,Man City,MID,2,0,6.3,inf,inf
361,Rúben Gato Alves Dias,Man City,DEF,28,12,5.4,2.3333333333333335,0.43209876543209874
362,John Stones,Man City,DEF,21,3,5.3,7.0,1.3207547169811322
363,Kyle Walker,Man City,DEF,12,10,5.2,1.2,0.23076923076923075
571,Sávio 'Savinho' Moreira de Oliveira,Man City,MID,40,9,6.4,4.444444444444445,0.6944444444444444
607,Nico O'Reilly,Man City,MID,0,0,4.9,,
625,Ilkay Gündogan,Man City,MID,33,12,6.5,2.75,0.4230769230769231
626,Issa Kaboré,Man City,DEF,0,0,4.5,,
671,Jacob Wright,Man City,MID,0,0,4.5,,
672,Jahmai Simpson-Pusey,Man City,DEF,1,1,4.0,1.0,0.25
675,Josh Wilson-Esbrand,Man City,DEF,0,0,4.0,,
698,Divin Mubama,Man City,FWD,0,0,4.5,,
703,Max Alleyne,Man City,DEF,0,0,4.0,,
704,Spike Brits,Man City,GKP,0,0,4.0,,
364,Amad Diallo,Man Utd,MID,69,11,5.4,6.2727272727272725,1.1616161616161615
365,Antony Matheus dos Santos,Man Utd,MID,5,0,5.7,inf,inf
366,Bruno Borges Fernandes,Man Utd,MID,81,16,8.4,5.0625,0.6026785714285714
367,Altay Bayindir,Man Utd,GKP,0,0,4.3,,
368,Carlos Henrique Casimiro,Man Utd,MID,30,8,4.8,3.75,0.78125
369,Diogo Dalot Teixeira,Man Utd,DEF,53,17,5.1,3.1176470588235294,0.6113033448673587
370,Christian Eriksen,Man Utd,MID,17,5,5.3,3.4,0.6415094339622641
371,Jonny Evans,Man Utd,DEF,14,3,4.4,4.666666666666667,1.0606060606060606
372,Alejandro Garnacho,Man Utd,MID,50,10,6.1,5.0,0.819672131147541
373,Hannibal Mejbri,Man Utd,MID,0,0,4.5,,
374,Tom Heaton,Man Utd,GKP,0,0,4.0,,
375,Rasmus Højlund,Man Utd,FWD,36,8,6.9,4.5,0.6521739130434783
376,Victor Lindelöf,Man Utd,DEF,4,0,4.3,inf,inf
377,Harry Maguire,Man Utd,DEF,14,6,4.9,2.3333333333333335,0.47619047619047616
378,Kobbie Mainoo,Man Utd,MID,23,10,5.2,2.3,0.44230769230769224
379,Tyrell Malacia,Man Utd,DEF,1,1,4.4,1.0,0.22727272727272727
380,Lisandro Martínez,Man Utd,DEF,43,14,4.4,3.0714285714285716,0.698051948051948
381,Scott McTominay,Man Utd,MID,2,0,4.9,inf,inf
382,Mason Mount,Man Utd,MID,8,2,6.3,4.0,0.6349206349206349
383,André Onana,Man Utd,GKP,69,18,5.2,3.8333333333333335,0.7371794871794872
384,Facundo Pellistri Rebollo,Man Utd,MID,0,0,5.0,,
385,Marcus Rashford,Man Utd,MID,54,10,6.7,5.4,0.8059701492537313
387,Luke Shaw,Man Utd,DEF,2,0,4.9,inf,inf
389,Joshua Zirkzee,Man Utd,FWD,42,7,6.6,6.0,0.9090909090909092
572,Leny Yoro,Man Utd,DEF,4,2,4.3,2.0,0.46511627906976744
593,Matthijs de Ligt,Man Utd,DEF,42,12,5.0,3.5,0.7
594,Noussair Mazraoui,Man Utd,DEF,48,14,4.6,3.4285714285714284,0.7453416149068323
613,Toby Collyer,Man Utd,MID,1,0,4.5,inf,inf
648,Ethan Wheatley,Man Utd,FWD,0,0,4.5,,
652,Manuel Ugarte,Man Utd,MID,16,7,4.9,2.2857142857142856,0.466472303206997
667,Jack Fletcher,Man Utd,MID,0,0,4.5,,
670,Harry Amass,Man Utd,DEF,0,0,4.0,,
673,Jayce Fitzgerald,Man Utd,MID,0,0,4.5,,
691,Godwill Kukonki,Man Utd,DEF,0,0,4.0,,
390,Alex Murphy,Newcastle,DEF,0,0,4.0,,
391,Miguel Almirón Rejala,Newcastle,MID,8,1,5.5,8.0,1.4545454545454546
392,Harvey Barnes,Newcastle,MID,63,8,6.1,7.875,1.2909836065573772
393,Sven Botman,Newcastle,DEF,0,0,4.4,,
394,Bruno Guimarães Rodriguez Moura,Newcastle,MID,59,17,6.1,3.4705882352941178,0.5689488910318227
395,Dan Burn,Newcastle,DEF,50,17,4.4,2.9411764705882355,0.6684491978609626
396,Martin Dúbravka,Newcastle,GKP,18,3,4.2,6.0,1.4285714285714286
398,Anthony Gordon,Newcastle,MID,77,15,7.3,5.133333333333334,0.7031963470319635
399,Lewis Hall,Newcastle,DEF,65,15,4.7,4.333333333333333,0.9219858156028368
400,Isaac Hayden,Newcastle,MID,0,0,4.4,,
401,Alexander Isak,Newcastle,FWD,105,14,9.1,7.5,0.8241758241758242
402,Jacob Murphy,Newcastle,MID,61,9,5.0,6.777777777777778,1.3555555555555556
403,Joelinton Cássio Apolinário de Lira,Newcastle,MID,58,15,6.0,3.8666666666666667,0.6444444444444445
404,Lloyd Kelly,Newcastle,DEF,10,3,4.2,3.3333333333333335,0.7936507936507936
405,Emil Krafth,Newcastle,DEF,10,2,4.3,5.0,1.1627906976744187
406,Garang Kuol,Newcastle,MID,0,0,4.4,,
407,Jamaal Lascelles,Newcastle,DEF,0,0,4.5,,
408,Jamal Lewis,Newcastle,DEF,0,0,4.0,,
409,Tino Livramento,Newcastle,DEF,43,13,4.5,3.3076923076923075,0.735042735042735
410,Sean Longstaff,Newcastle,MID,25,7,4.7,3.5714285714285716,0.7598784194528876
411,Lewis Miley,Newcastle,MID,2,0,5.0,inf,inf
412,Odysseas Vlachodimos,Newcastle,GKP,0,0,4.3,,
413,Nick Pope,Newcastle,GKP,48,15,4.9,3.2,0.6530612244897959
414,John Ruddy,Newcastle,GKP,0,0,4.0,,
415,Fabian Schär,Newcastle,DEF,50,15,5.4,3.3333333333333335,0.6172839506172839
416,Matt Targett,Newcastle,DEF,1,0,4.0,inf,inf
417,Sandro Tonali,Newcastle,MID,28,10,5.5,2.8,0.509090909090909
418,Kieran Trippier,Newcastle,DEF,22,4,5.6,5.5,0.9821428571428572
419,Joe White,Newcastle,MID,0,0,4.5,,
420,Joe Willock,Newcastle,MID,23,5,4.8,4.6,0.9583333333333333
421,Callum Wilson,Newcastle,FWD,3,0,6.9,inf,inf
574,Miodrag Pivaš,Newcastle,DEF,0,0,4.0,,
590,William Osula,Newcastle,FWD,6,0,4.9,inf,inf
26,Álex Moreno Lopera,Nott'm Forest,DEF,30,8,4.4,3.75,0.8522727272727272
422,Ola Aina,Nott'm Forest,DEF,81,17,5.1,4.764705882352941,0.9342560553633219
423,Elliot Anderson,Nott'm Forest,MID,49,11,5.0,4.454545454545454,0.8909090909090909
424,Taiwo Awoniyi,Nott'm Forest,FWD,14,2,5.5,7.0,1.2727272727272727
425,Willy Boly,Nott'm Forest,DEF,4,1,4.2,4.0,0.9523809523809523
426,Josh Bowler,Nott'm Forest,MID,0,0,4.5,,
427,Carlos Miguel dos Santos Pereira,Nott'm Forest,GKP,0,0,4.2,,
428,Eric da Silva Moreira,Nott'm Forest,MID,2,0,4.4,inf,inf
429,Danilo dos Santos de Oliveira,Nott'm Forest,MID,1,0,4.7,inf,inf
430,Emmanuel Dennis,Nott'm Forest,FWD,0,0,4.9,,
431,Nicolás Domínguez,Nott'm Forest,MID,19,8,4.8,2.375,0.4947916666666667
432,Anthony Elanga,Nott'm Forest,MID,56,10,5.1,5.6,1.0980392156862746
433,Morgan Gibbs-White,Nott'm Forest,MID,53,12,6.3,4.416666666666667,0.7010582010582012
434,Callum Hudson-Odoi,Nott'm Forest,MID,56,14,5.3,4.0,0.7547169811320755
435,Alex Mighten,Nott'm Forest,MID,0,0,4.5,,
436,Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,68,17,4.6,4.0,0.8695652173913044
437,Neco Williams,Nott'm Forest,DEF,39,9,4.3,4.333333333333333,1.0077519379844961
438,Omar Richards,Nott'm Forest,DEF,0,0,4.5,,
439,Lewis O'Brien,Nott'm Forest,MID,0,0,5.0,,
440,Andrew Omobamidele,Nott'm Forest,DEF,0,0,4.2,,
441,Jonathan Panzo,Nott'm Forest,DEF,0,0,4.0,,
442,Ibrahim Sangaré,Nott'm Forest,MID,4,2,4.4,2.0,0.45454545454545453
443,Matz Sels,Nott'm Forest,GKP,79,18,4.8,4.388888888888889,0.914351851851852
444,Harry Toffolo,Nott'm Forest,DEF,2,0,4.2,inf,inf
446,Hwang Ui-jo,Nott'm Forest,FWD,0,0,4.5,,
447,Chris Wood,Nott'm Forest,FWD,94,15,6.6,6.266666666666667,0.9494949494949495
448,Joe Worrall,Nott'm Forest,DEF,0,0,4.5,,
449,Ryan Yates,Nott'm Forest,MID,42,14,4.9,3.0,0.6122448979591836
531,James Ward-Prowse,Nott'm Forest,MID,10,4,6.2,2.5,0.4032258064516129
573,Nikola Milenković,Nott'm Forest,DEF,71,17,4.7,4.176470588235294,0.8886107634543179
596,João Pedro Ferreira Silva,Nott'm Forest,MID,24,5,5.9,4.8,0.8135593220338982
620,Ramón Sosa,Nott'm Forest,MID,16,1,5.5,16.0,2.909090909090909
653,Felipe Rodrigues da Silva,Nott'm Forest,DEF,16,3,4.5,5.333333333333333,1.1851851851851851
14,Aaron Ramsdale,Southampton,GKP,38,11,4.4,3.4545454545454546,0.7851239669421487
27,Cameron Archer,Southampton,FWD,36,9,5.0,4.0,0.8
188,Lesley Ugochukwu,Southampton,MID,8,3,4.5,2.6666666666666665,0.5925925925925926
397,Ryan Fraser,Southampton,MID,6,3,4.8,2.0,0.4166666666666667
450,Carlos Alcaraz Durán,Southampton,MID,1,0,4.9,inf,inf
451,Samuel Amo-Ameyaw,Southampton,MID,1,0,4.4,inf,inf
452,Joe Aribo,Southampton,MID,38,10,4.9,3.8,0.7755102040816325
453,Adam Armstrong,Southampton,FWD,36,11,5.1,3.272727272727273,0.6417112299465242
454,Gavin Bazunu,Southampton,GKP,0,0,4.3,,
455,Jan Bednarek,Southampton,DEF,27,13,4.0,2.076923076923077,0.5192307692307693
456,Armel Bella-Kotchap,Southampton,DEF,0,0,3.9,,
457,James Bree,Southampton,DEF,4,1,3.9,4.0,1.0256410256410258
458,Shea Charles,Southampton,MID,0,0,4.5,,
459,Samuel Edozie,Southampton,MID,1,0,4.9,inf,inf
460,Ronnie Edwards,Southampton,DEF,1,0,3.9,inf,inf
461,Taylor Harwood-Bellis,Southampton,DEF,36,15,4.1,2.4,0.5853658536585367
462,Kamaldeen Sulemana,Southampton,MID,7,0,5.0,inf,inf
463,Adam Lallana,Southampton,MID,12,3,5.0,4.0,0.8
464,Juan Larios López,Southampton,DEF,0,0,4.0,,
465,Mateusz Lis,Southampton,GKP,0,0,4.0,,
466,Joe Lumley,Southampton,GKP,8,3,4.0,2.6666666666666665,0.6666666666666666
467,Ryan Manning,Southampton,DEF,13,7,4.3,1.8571428571428572,0.43189368770764125
468,Sékou Mara,Southampton,FWD,0,0,5.0,,
469,Alex McCarthy,Southampton,GKP,10,4,4.3,2.5,0.5813953488372093
470,Paul Onuachu,Southampton,FWD,8,2,4.9,4.0,0.8163265306122448
471,Will Smallbone,Southampton,MID,6,2,5.0,3.0,0.6
472,Jack Stephens,Southampton,DEF,10,8,4.0,1.25,0.3125
473,Ross Stewart,Southampton,FWD,3,1,4.4,3.0,0.6818181818181818
474,Sugawara Yukinari,Southampton,DEF,35,10,4.3,3.5,0.813953488372093
475,Charlie Taylor,Southampton,DEF,6,2,3.9,3.0,0.7692307692307693
476,Kyle Walker-Peters,Southampton,DEF,36,15,4.3,2.4,0.5581395348837209
477,Nathan Wood-Gordon,Southampton,DEF,11,4,4.0,2.75,0.6875
515,Maxwel Cornet,Southampton,MID,1,0,4.7,inf,inf
518,Flynn Downes,Southampton,MID,32,15,4.8,2.1333333333333333,0.4444444444444445
584,Ben Brereton Díaz,Southampton,MID,13,4,4.9,3.25,0.6632653061224489
608,Tyler Dibling,Southampton,MID,30,10,4.5,3.0,0.6666666666666666
623,Mateus Gonçalo Espanha Fernandes,Southampton,MID,39,14,5.0,2.7857142857142856,0.5571428571428572
693,Joseph O'Brien-Whitmarsh,Southampton,MID,0,0,4.5,,
82,Dominic Solanke-Mitchell,Spurs,FWD,72,14,7.5,5.142857142857143,0.6857142857142857
478,Ashley Phillips,Spurs,DEF,0,0,4.0,,
479,Brandon Austin,Spurs,GKP,0,0,4.0,,
480,Rodrigo Bentancur,Spurs,MID,21,6,4.9,3.5,0.7142857142857142
481,Lucas Bergvall,Spurs,MID,12,2,4.4,6.0,1.3636363636363635
482,Yves Bissouma,Spurs,MID,34,9,4.9,3.7777777777777777,0.7709750566893423
483,Bryan Gil Salvatierra,Spurs,MID,0,0,5.0,,
484,Ben Davies,Spurs,DEF,10,3,4.3,3.3333333333333335,0.7751937984496124
485,Alfie Devine,Spurs,MID,0,0,4.5,,
486,Radu Drăgușin,Spurs,DEF,21,9,4.3,2.3333333333333335,0.5426356589147288
487,Emerson Leite de Souza Junior,Spurs,DEF,0,0,4.5,,
488,Fraser Forster,Spurs,GKP,18,6,4.3,3.0,0.6976744186046512
489,Archie Gray,Spurs,MID,16,4,4.6,4.0,0.8695652173913044
490,Pierre-Emile Højbjerg,Spurs,MID,0,0,5.0,,
491,Brennan Johnson,Spurs,MID,77,14,6.5,5.5,0.8461538461538461
492,Dejan Kulusevski,Spurs,MID,74,15,6.4,4.933333333333334,0.7708333333333334
493,Giovani Lo Celso,Spurs,MID,0,0,4.9,,
494,James Maddison,Spurs,MID,97,12,7.7,8.083333333333334,1.04978354978355
495,Pedro Porro,Spurs,DEF,61,16,5.5,3.8125,0.6931818181818182
496,Sergio Reguilón,Spurs,DEF,0,0,4.2,,
497,Richarlison de Andrade,Spurs,FWD,7,0,6.8,inf,inf
498,Cristian Romero,Spurs,DEF,35,10,4.9,3.5,0.7142857142857142
499,Pape Matar Sarr,Spurs,MID,37,10,4.8,3.7,0.7708333333333334
500,Dane Scarlett,Spurs,FWD,0,0,4.5,,
502,Manor Solomon,Spurs,MID,0,0,5.4,,
503,Son Heung-min,Spurs,MID,81,12,9.8,6.75,0.6887755102040816
504,Djed Spence,Spurs,DEF,10,3,4.4,3.3333333333333335,0.7575757575757576
505,Destiny Udogie,Spurs,DEF,36,15,4.9,2.4,0.48979591836734687
506,Micky van de Ven,Spurs,DEF,28,8,4.5,3.5,0.7777777777777778
507,Alejo Véliz,Spurs,FWD,0,0,5.0,,
508,Guglielmo Vicario,Spurs,GKP,37,12,4.8,3.0833333333333335,0.6423611111111112
509,Timo Werner,Spurs,MID,30,4,6.2,7.5,1.2096774193548387
510,Alfie Whiteman,Spurs,GKP,0,0,4.0,,
609,Will Lankshear,Spurs,FWD,2,0,4.5,inf,inf
610,Mikey Moore,Spurs,MID,5,0,4.5,inf,inf
612,Wilson Odobert,Spurs,MID,6,1,5.3,6.0,1.1320754716981132
683,Callum Olusesi,Spurs,MID,0,0,4.5,,
684,Malachi Hardy,Spurs,DEF,0,0,4.0,,
689,Luca Williams-Barnett,Spurs,MID,0,0,4.5,,
699,Alfie Dorrington,Spurs,DEF,1,0,4.0,inf,inf
700,Maeson King,Spurs,DEF,0,0,4.0,,
388,Aaron Wan-Bissaka,West Ham,DEF,58,16,4.6,3.625,0.7880434782608696
511,Edson Álvarez Velázquez,West Ham,MID,15,9,5.0,1.6666666666666667,0.33333333333333337
512,Michail Antonio,West Ham,FWD,42,9,5.3,4.666666666666667,0.8805031446540882
513,Alphonse Areola,West Ham,GKP,16,8,4.2,2.0,0.47619047619047616
514,Jarrod Bowen,West Ham,MID,89,17,7.5,5.235294117647059,0.6980392156862745
516,Vladimír Coufal,West Ham,DEF,15,4,4.2,3.75,0.8928571428571428
517,Aaron Cresswell,West Ham,DEF,5,0,3.9,inf,inf
519,George Earthy,West Ham,MID,0,0,4.5,,
520,Emerson Palmieri dos Santos,West Ham,DEF,43,14,4.4,3.0714285714285716,0.698051948051948
521,Łukasz Fabiański,West Ham,GKP,33,9,4.1,3.6666666666666665,0.894308943089431
522,Wes Foderingham,West Ham,GKP,0,0,4.3,,
523,Danny Ings,West Ham,FWD,23,1,5.0,23.0,4.6
524,Max Kilman,West Ham,DEF,41,17,4.4,2.411764705882353,0.5481283422459893
525,Mohammed Kudus,West Ham,MID,47,12,6.2,3.9166666666666665,0.6317204301075269
526,Luis Guilherme Lira dos Santos,West Ham,MID,2,0,4.7,inf,inf
527,Lucas Tolentino Coelho de Lima,West Ham,MID,50,13,5.7,3.8461538461538463,0.6747638326585695
528,Konstantinos Mavropanos,West Ham,DEF,30,12,4.4,2.5,0.5681818181818181
529,Nayef Aguerd,West Ham,DEF,0,0,4.4,,
530,Tomáš Souček,West Ham,MID,60,13,4.9,4.615384615384615,0.9419152276295132
532,Kurt Zouma,West Ham,DEF,0,0,4.4,,
576,Andy Irving,West Ham,MID,4,0,4.8,inf,inf
587,Crysencio Summerville,West Ham,MID,30,7,5.6,4.285714285714286,0.7653061224489797
588,Guido Rodríguez,West Ham,MID,24,9,4.8,2.6666666666666665,0.5555555555555556
589,Niclas Füllkrug,West Ham,FWD,16,2,6.7,8.0,1.1940298507462686
591,Jean-Clair Todibo,West Ham,DEF,24,8,4.3,3.0,0.6976744186046512
643,Kaelan Casey,West Ham,DEF,1,0,4.0,inf,inf
654,Carlos Soler,West Ham,MID,18,7,5.0,2.5714285714285716,0.5142857142857143
677,Ollie Scarles,West Ham,DEF,2,0,4.0,inf,inf
686,Ezra Mayers,West Ham,DEF,0,0,4.0,,
701,Lewis Orford,West Ham,MID,0,0,4.5,,
204,Sam Johnstone,Wolves,GKP,12,7,4.3,1.7142857142857142,0.39867109634551495
533,Rayan Aït-Nouri,Wolves,DEF,46,16,4.8,2.875,0.5989583333333334
534,Boubacar Traoré,Wolves,MID,0,0,4.8,,
535,Jean-Ricner Bellegarde,Wolves,MID,34,8,4.9,4.25,0.8673469387755102
536,Daniel Bentley,Wolves,GKP,0,0,4.0,,
537,Francisco Jorge Tomás Oliveira,Wolves,MID,1,0,4.5,inf,inf
538,Tawanda Chirewa,Wolves,MID,0,0,4.5,,
539,Leon Chiwome,Wolves,FWD,0,0,4.5,,
540,Luke Cundle,Wolves,MID,0,0,4.5,,
541,Matheus Santos Carneiro Da Cunha,Wolves,FWD,110,16,7.1,6.875,0.9683098591549296
542,Craig Dawson,Wolves,DEF,16,9,4.4,1.7777777777777777,0.404040404040404
543,Matt Doherty,Wolves,DEF,26,6,4.3,4.333333333333333,1.0077519379844961
544,Tommy Doyle,Wolves,MID,19,3,4.8,6.333333333333333,1.3194444444444444
545,Fábio Silva,Wolves,FWD,0,0,5.0,,
546,Nathan Fraser,Wolves,FWD,0,0,4.5,,
547,Enso González,Wolves,MID,0,0,4.4,,
548,Gonçalo Manuel Ganchinho Guedes,Wolves,MID,42,4,5.3,10.5,1.9811320754716981
549,Hugo Bueno López,Wolves,DEF,0,0,4.5,,
550,Hwang Hee-chan,Wolves,MID,18,3,6.1,6.0,0.9836065573770493
551,Joe Hodge,Wolves,MID,0,0,4.5,,
552,Ki-Jana Hoever,Wolves,DEF,0,0,4.0,,
553,João Victor Gomes da Silva,Wolves,MID,48,15,4.9,3.2,0.6530612244897959
554,José Malheiro de Sá,Wolves,GKP,30,11,4.3,2.727272727272727,0.6342494714587738
555,Saša Kalajdžić,Wolves,FWD,0,0,4.8,,
556,Tom King,Wolves,GKP,0,0,4.0,,
557,Mario Lemina,Wolves,MID,46,14,5.0,3.2857142857142856,0.6571428571428571
558,Yerson Mosquera,Wolves,DEF,3,4,3.9,0.75,0.19230769230769232
559,Nélson Cabral Semedo,Wolves,DEF,35,14,4.5,2.5,0.5555555555555556
561,Pedro Cardoso de Lima,Wolves,DEF,0,0,3.9,,
562,Daniel Castelo Podence,Wolves,MID,2,0,5.5,inf,inf
563,Rodrigo Martins Gomes,Wolves,MID,20,3,5.2,6.666666666666667,1.2820512820512822
564,Santiago Bueno,Wolves,DEF,24,9,4.3,2.6666666666666665,0.6201550387596899
565,Pablo Sarabia,Wolves,MID,10,1,5.0,10.0,2.0
566,Jørgen Strand Larsen,Wolves,FWD,71,16,5.6,4.4375,0.7924107142857143
567,Toti António Gomes,Wolves,DEF,34,14,4.3,2.4285714285714284,0.5647840531561461
637,Bastien Meupiyou,Wolves,DEF,0,0,4.0,,
642,André Trindade da Costa Neto,Wolves,MID,23,10,5.0,2.3,0.45999999999999996
655,Carlos Roberto Forbs Borges,Wolves,MID,6,2,5.5,3.0,0.5454545454545454
664,Alfie Pond,Wolves,DEF,1,0,3.9,inf,inf
682,Tom Edozie,Wolves,MID,0,0,4.5,,
