id,full_name,team,position,total_points,matches_played,value,points_per_match,ppm
68,James Hill,Bournemouth,DEF,2,0,3.9,inf,inf
69,Daniel Jebbison,Bournemouth,FWD,2,0,4.5,inf,inf
70,Milos Kerkez,Bournemouth,DEF,62,17,4.7,3.6470588235294117,0.7759699624530663
71,Justin Kluivert,Bournemouth,MID,75,12,5.5,6.25,1.1363636363636365
72,Chris Mepham,Bournemouth,DEF,0,0,4.4,,
74,Dango Ouattara,Bournemouth,MID,48,8,5.0,6.0,1.2
75,Alex Paulsen,Bournemouth,GKP,0,0,4.0,,
76,Philip Billing,Bournemouth,MID,8,1,4.8,8.0,1.6666666666666667
77,Alex Scott,Bournemouth,MID,11,2,4.7,5.5,1.1702127659574468
78,Antoine Semenyo,Bournemouth,MID,66,16,5.6,4.125,0.7366071428571429
79,Marcos Senesi,Bournemouth,DEF,21,10,4.7,2.1,0.44680851063829785
80,Luis Sinisterra,Bournemouth,MID,19,2,4.8,9.5,1.9791666666666667
81,Adam Smith,Bournemouth,DEF,34,11,4.5,3.090909090909091,0.6868686868686869
83,Marcus Tavernier,Bournemouth,MID,48,12,5.4,4.0,0.7407407407407407
84,Mark Travers,Bournemouth,GKP,10,3,4.4,3.3333333333333335,0.7575757575757576
85,Illia Zabarnyi,Bournemouth,DEF,47,18,4.4,2.611111111111111,0.5934343434343434
152,Kepa Arrizabalaga,Bournemouth,GKP,50,13,4.5,3.8461538461538463,0.8547008547008548
580,Dean Huijsen,Bournemouth,DEF,48,7,4.4,6.857142857142857,1.5584415584415583
592,Julián Araujo Zúñiga,Bournemouth,DEF,8,3,4.3,2.6666666666666665,0.6201550387596899
599,Will Dennis,Bournemouth,GKP,0,0,4.0,,
617,Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,68,13,6.0,5.230769230769231,0.8717948717948718
680,Max Kinsey,Bournemouth,DEF,0,0,4.0,,
687,Ben Winterburn,Bournemouth,MID,0,0,4.5,,
702,Archie Harris,Bournemouth,DEF,0,0,4.0,,
86,Kristoffer Ajer,Brentford,DEF,9,7,4.4,1.2857142857142858,0.2922077922077922
87,Ethan Brierley,Brentford,MID,0,0,4.4,,
88,Nathan Collins,Brentford,DEF,55,18,4.6,3.0555555555555554,0.6642512077294687
89,Mikkel Damsgaard,Brentford,MID,64,14,5.0,4.571428571428571,0.9142857142857143
90,Josh Dasilva,Brentford,MID,0,0,4.8,,
91,Mark Flekken,Brentford,GKP,54,17,4.5,3.176470588235294,0.7058823529411764
92,Rico Henry,Brentford,DEF,0,0,4.3,,
93,Aaron Hickey,Brentford,DEF,0,0,4.3,,
94,Vitaly Janelt,Brentford,MID,49,14,4.9,3.5,0.7142857142857142
95,Mathias Jensen,Brentford,MID,17,5,5.3,3.4,0.6415094339622641
96,Kim Ji-soo,Brentford,DEF,1,0,3.9,inf,inf
97,Yunus Emre Konak,Brentford,MID,5,0,4.5,inf,inf
98,Keane Lewis-Potter,Brentford,MID,43,15,5.0,2.8666666666666667,0.5733333333333334
99,Bryan Mbeumo,Brentford,MID,110,17,7.6,6.470588235294118,0.8513931888544892
100,Ben Mee,Brentford,DEF,7,1,4.2,7.0,1.6666666666666665
101,Christian Nørgaard,Brentford,MID,36,13,4.8,2.769230769230769,0.576923076923077
102,Frank Onyeka,Brentford,MID,2,0,4.9,inf,inf
103,Myles Peart-Harris,Brentford,MID,0,0,4.5,,
104,Ethan Pinnock,Brentford,DEF,33,16,4.5,2.0625,0.4583333333333333
105,Mads Roerslev Rasmussen,Brentford,DEF,23,7,4.3,3.2857142857142856,0.7641196013289037
106,Kevin Schade,Brentford,MID,61,9,5.1,6.777777777777778,1.328976034858388
107,Igor Thiago Nascimento Rodrigues,Brentford,FWD,5,1,5.9,5.0,0.847457627118644
108,Ivan Toney,Brentford,FWD,0,0,7.3,,
109,Hákon Valdimarsson,Brentford,GKP,1,0,3.9,inf,inf
110,Yoane Wissa,Brentford,FWD,78,12,6.2,6.5,1.0483870967741935
111,Yehor Yarmoliuk,Brentford,MID,15,4,4.4,3.75,0.8522727272727272
112,Mathias Jorgensen,Brentford,DEF,0,0,4.5,,
314,Fábio Freitas Gouveia Carvalho,Brentford,MID,27,4,4.6,6.75,1.4673913043478262
338,Sepp van den Berg,Brentford,DEF,20,13,4.1,1.5384615384615385,0.375234521575985
602,Ryan Trevitt,Brentford,MID,1,0,4.4,inf,inf
634,Gustavo Nunes Fernandes Gomes,Brentford,MID,0,0,4.9,,
649,Jayden Meghoma,Brentford,DEF,1,0,4.0,inf,inf
661,Tony Yogane,Brentford,MID,0,0,4.5,,
674,Paris Maghoma,Brentford,MID,3,0,4.5,inf,inf
705,Benjamin Arthur,Brentford,DEF,0,0,4.0,,
113,Simon Adingra,Brighton,MID,23,4,5.2,5.75,1.1057692307692308
114,Benicio Baker-Boaitey,Brighton,MID,0,0,4.5,,
115,Carlos Baleba,Brighton,MID,42,11,5.0,3.8181818181818183,0.7636363636363637
116,Valentín Barco,Brighton,DEF,0,0,4.0,,
118,Amario Cozier-Duberry,Brighton,MID,0,0,4.5,,
119,Mahmoud Dahoud,Brighton,MID,0,0,4.9,,
120,Lewis Dunk,Brighton,DEF,35,13,4.4,2.6923076923076925,0.6118881118881119
121,Julio Enciso,Brighton,MID,12,2,5.4,6.0,1.111111111111111
122,Pervis Estupiñán,Brighton,DEF,26,12,5.1,2.1666666666666665,0.42483660130718953
123,Evan Ferguson,Brighton,FWD,19,2,5.5,9.5,1.7272727272727273
124,Billy Gilmour,Brighton,MID,3,1,5.0,3.0,0.6
125,Pascal Groß,Brighton,MID,0,0,6.5,,
126,Jack Hinshelwood,Brighton,MID,28,9,4.9,3.111111111111111,0.6349206349206349
127,Ibrahim Osman,Brighton,MID,0,0,5.0,,
128,Igor Julio dos Santos de Paulo,Brighton,DEF,15,8,4.4,1.875,0.4261363636363636
129,João Pedro Junqueira de Jesus,Brighton,FWD,57,9,5.8,6.333333333333333,1.0919540229885056
130,Kacper Kozłowski,Brighton,MID,0,0,4.5,,
131,Tariq Lamptey,Brighton,DEF,17,2,4.4,8.5,1.9318181818181817
132,Solly March,Brighton,MID,1,0,6.5,inf,inf
133,Adrian Mazilu,Brighton,MID,0,0,4.5,,
134,James Milner,Brighton,MID,5,1,5.0,5.0,1.0
135,Yankuba Minteh,Brighton,MID,33,6,5.1,5.5,1.0784313725490198
136,Mitoma Kaoru,Brighton,MID,68,16,6.5,4.25,0.6538461538461539
137,Jakub Moder,Brighton,MID,2,0,4.4,inf,inf
138,Mark O’Mahony,Brighton,FWD,0,0,4.5,,
139,Odeluga Offiah,Brighton,DEF,0,0,4.0,,
140,Cameron Peupion,Brighton,MID,0,0,4.4,,
141,Jeremy Sarmiento Morante,Brighton,MID,1,0,4.9,inf,inf
142,Jason Steele,Brighton,GKP,9,2,4.2,4.5,1.0714285714285714
143,Deniz Undav,Brighton,FWD,0,0,5.5,,
144,Jan Paul van Hecke,Brighton,DEF,40,14,4.5,2.857142857142857,0.6349206349206349
145,Joël Veltman,Brighton,DEF,43,12,4.5,3.5833333333333335,0.7962962962962963
146,Bart Verbruggen,Brighton,GKP,48,16,4.5,3.0,0.6666666666666666
147,Adam Webster,Brighton,DEF,1,0,4.3,inf,inf
148,Danny Welbeck,Brighton,FWD,69,12,5.6,5.75,1.0267857142857144
149,Mats Wieffer,Brighton,MID,28,5,4.7,5.6,1.1914893617021276
595,Brajan Gruda,Brighton,MID,11,2,5.4,5.5,1.0185185185185184
600,Yasin Ayari,Brighton,MID,26,9,5.0,2.888888888888889,0.5777777777777777
601,Andrew Moran,Brighton,MID,0,0,5.0,,
615,Carl Rushworth,Brighton,GKP,0,0,4.0,,
618,Georginio Rutter,Brighton,MID,55,11,5.4,5.0,0.9259259259259258
628,Ferdi Kadioglu,Brighton,DEF,19,4,4.5,4.75,1.0555555555555556
629,Matt O'Riley,Brighton,MID,14,3,5.5,4.666666666666667,0.8484848484848485
663,Imari Samuels,Brighton,DEF,0,0,4.0,,
668,Killian Cahill,Brighton,GKP,0,0,3.9,,
681,Ruairi McConville,Brighton,DEF,0,0,4.0,,
685,Jacob Slater,Brighton,DEF,0,0,4.0,,
150,Andrey Nascimento dos Santos,Chelsea,MID,0,0,4.5,,
151,Ângelo Gabriel Borges Damaceno,Chelsea,MID,0,0,4.5,,
153,Benoît Badiashile,Chelsea,DEF,5,2,4.3,2.5,0.5813953488372093
154,Lucas Bergström,Chelsea,GKP,0,0,3.9,,
155,Marcus Bettinelli,Chelsea,GKP,0,0,3.9,,
157,Moisés Caicedo Corozo,Chelsea,MID,54,17,4.9,3.176470588235294,0.6482593037214885
158,Cesare Casadei,Chelsea,MID,0,0,4.4,,
160,Ben Chilwell,Chelsea,DEF,0,0,4.7,,
161,Carney Chukwuemeka,Chelsea,MID,0,0,4.8,,
162,Levi Colwill,Chelsea,DEF,45,17,4.6,2.6470588235294117,0.5754475703324808
163,Marc Cucurella Saseta,Chelsea,DEF,43,14,5.2,3.0714285714285716,0.5906593406593407
164,David Datro Fofana,Chelsea,FWD,0,0,5.4,,
165,Deivid Washington de Souza Eugênio,Chelsea,FWD,0,0,4.9,,
166,Kiernan Dewsbury-Hall,Chelsea,MID,5,0,5.5,inf,inf
167,Axel Disasi,Chelsea,DEF,20,3,4.2,6.666666666666667,1.5873015873015872
168,Enzo Fernández,Chelsea,MID,64,13,5.1,4.923076923076923,0.9653092006033184
169,Conor Gallagher,Chelsea,MID,0,0,5.9,,
170,Alfie Gilchrist,Chelsea,DEF,0,0,4.0,,
171,Malo Gusto,Chelsea,DEF,27,12,4.9,2.25,0.4591836734693877
172,Reece James,Chelsea,DEF,5,2,4.8,2.5,0.5208333333333334
173,Omari Kellyman,Chelsea,MID,0,0,4.4,,
174,Roméo Lavia,Chelsea,MID,15,5,4.5,3.0,0.6666666666666666
175,Romelu Lukaku Bolingoli,Chelsea,FWD,0,0,6.3,,
176,Malang Sarr,Chelsea,DEF,0,0,4.5,,
177,Noni Madueke,Chelsea,MID,76,11,6.3,6.909090909090909,1.0966810966810967
178,Marc Guiu Paz,Chelsea,FWD,1,0,4.7,inf,inf
179,Mykhailo Mudryk,Chelsea,MID,7,1,6.2,7.0,1.129032258064516
180,Nicolas Jackson,Chelsea,FWD,93,14,8.3,6.642857142857143,0.8003442340791738
181,Christopher Nkunku,Chelsea,MID,34,3,5.8,11.333333333333334,1.9540229885057472
182,Cole Palmer,Chelsea,MID,141,17,11.3,8.294117647058824,0.7339927121290994
183,Đorđe Petrović,Chelsea,GKP,0,0,4.4,,
184,Renato Palma Veiga,Chelsea,MID,7,1,4.5,7.0,1.5555555555555556
185,Robert Sánchez,Chelsea,GKP,66,17,4.8,3.8823529411764706,0.8088235294117647
187,Tosin Adarabioyo,Chelsea,DEF,21,5,4.2,4.2,1.0
189,Wesley Fofana,Chelsea,DEF,19,11,4.4,1.7272727272727273,0.39256198347107435
386,Jadon Sancho,Chelsea,MID,44,8,6.2,5.5,0.8870967741935484
560,Pedro Lomba Neto,Chelsea,MID,33,9,6.2,3.6666666666666665,0.5913978494623655
575,Caleb Wiley,Chelsea,DEF,0,0,4.0,,
581,Filip Jørgensen,Chelsea,GKP,3,1,4.2,3.0,0.7142857142857143
621,João Félix Sequeira,Chelsea,MID,18,3,6.0,6.0,1.0
695,Samuel Rak-Sakyi,Chelsea,MID,0,0,4.5,,
696,Tyrique George,Chelsea,MID,0,0,4.5,,
697,Josh Acheampong,Chelsea,DEF,0,0,4.0,,
11,Eddie Nketiah,Crystal Palace,FWD,19,6,5.9,3.1666666666666665,0.5367231638418078
159,Trevoh Chalobah,Crystal Palace,DEF,44,10,4.4,4.4,1.0
190,Naouirou Ahamada,Crystal Palace,MID,0,0,4.5,,
193,Cheick Doucouré,Crystal Palace,MID,13,3,4.9,4.333333333333333,0.8843537414965985
194,Chris Richards,Crystal Palace,DEF,11,4,4.4,2.75,0.625
195,Chadi Riad Dnanou,Crystal Palace,DEF,1,1,4.3,1.0,0.23255813953488372
196,Nathaniel Clyne,Crystal Palace,DEF,13,4,4.3,3.25,0.7558139534883721
197,Malcolm Ebiowei,Crystal Palace,MID,0,0,4.5,,
199,Eberechi Eze,Crystal Palace,MID,44,12,6.6,3.6666666666666665,0.5555555555555556
200,Marc Guéhi,Crystal Palace,DEF,53,18,4.5,2.9444444444444446,0.654320987654321
201,Dean Henderson,Crystal Palace,GKP,62,18,4.4,3.4444444444444446,0.7828282828282828
202,Rob Holding,Crystal Palace,DEF,0,0,4.3,,
203,Will Hughes,Crystal Palace,MID,32,11,4.9,2.909090909090909,0.5936920222634509
205,Daichi Kamada,Crystal Palace,MID,18,7,5.1,2.5714285714285716,0.504201680672269
206,Jefferson Lerma Solís,Crystal Palace,MID,21,10,4.8,2.1,0.43750000000000006
207,Jean-Philippe Mateta,Crystal Palace,FWD,57,14,7.2,4.071428571428571,0.5654761904761905
208,Matheus França de Oliveira,Crystal Palace,MID,0,0,4.4,,
209,Remi Matthews,Crystal Palace,GKP,0,0,3.9,,
210,Tyrick Mitchell,Crystal Palace,DEF,55,17,4.8,3.235294117647059,0.6740196078431373
211,Daniel Muñoz,Crystal Palace,DEF,57,16,4.7,3.5625,0.7579787234042553
212,David Ozoh,Crystal Palace,MID,0,0,4.5,,
213,Jesurun Rak-Sakyi,Crystal Palace,MID,0,0,4.5,,
214,Jeffrey Schlupp,Crystal Palace,MID,11,1,4.7,11.0,2.3404255319148937
215,Joel Ward,Crystal Palace,DEF,0,0,4.3,,
216,Adam Wharton,Crystal Palace,MID,15,6,4.7,2.5,0.5319148936170213
445,Matt Turner,Crystal Palace,GKP,0,0,4.0,,
585,Ismaïla Sarr,Crystal Palace,MID,64,12,5.8,5.333333333333333,0.9195402298850575
644,Franco Umeh-Chibueze,Crystal Palace,MID,0,0,4.4,,
645,Justin Devenny,Crystal Palace,MID,16,2,4.5,8.0,1.7777777777777777
646,Asher Agbinone,Crystal Palace,MID,2,0,4.5,inf,inf
647,Kaden Rodney,Crystal Palace,MID,0,0,4.5,,
650,Maxence Lacroix,Crystal Palace,DEF,46,15,4.5,3.066666666666667,0.6814814814814816
666,Caleb Kporha,Crystal Palace,DEF,2,0,4.0,inf,inf
676,Zach Marsh,Crystal Palace,FWD,0,0,4.5,,
156,Armando Broja,Everton,FWD,2,0,5.4,inf,inf
217,Abdoulaye Doucouré,Everton,MID,35,12,5.1,2.9166666666666665,0.5718954248366013
218,Norberto Bercique Gomes Betuncal,Everton,FWD,16,2,4.9,8.0,1.6326530612244896
219,Jarrad Branthwaite,Everton,DEF,36,8,4.8,4.5,0.9375
220,Dominic Calvert-Lewin,Everton,FWD,49,14,5.4,3.5,0.6481481481481481
221,Séamus Coleman,Everton,DEF,3,2,4.3,1.5,0.3488372093023256
222,Idrissa Gueye,Everton,MID,34,13,4.8,2.6153846153846154,0.5448717948717949
223,James Garner,Everton,MID,7,2,4.9,3.5,0.7142857142857142
224,Jack Harrison,Everton,MID,32,9,5.2,3.5555555555555554,0.6837606837606837
225,Mason Holgate,Everton,DEF,1,0,4.0,inf,inf
226,Tim Iroegbunam,Everton,MID,8,4,4.4,2.0,0.45454545454545453
227,João Neves Virgínia,Everton,GKP,0,0,3.9,,
228,Michael Keane,Everton,DEF,32,9,4.0,3.5555555555555554,0.8888888888888888
229,Neal Maupay,Everton,FWD,0,0,4.9,,
230,Dwight McNeil,Everton,MID,65,12,5.2,5.416666666666667,1.0416666666666667
231,Vitalii Mykolenko,Everton,DEF,53,14,4.3,3.7857142857142856,0.8803986710963455
232,Iliman Ndiaye,Everton,FWD,51,14,5.4,3.642857142857143,0.6746031746031745
234,Nathan Patterson,Everton,DEF,2,0,4.4,inf,inf
235,Jordan Pickford,Everton,GKP,82,17,4.9,4.823529411764706,0.9843937575030011
236,James Tarkowski,Everton,DEF,57,16,4.8,3.5625,0.7421875
237,Youssef Ramalho Chermiti,Everton,FWD,0,0,4.9,,
238,Ashley Young,Everton,DEF,67,13,4.7,5.153846153846154,1.0965630114566285
