iter	Passed	Remaining
415	3125	4387
416	3132	4379
417	3140	4372
418	3147	4365
419	3155	4357
420	3163	4350
421	3170	4342
422	3178	4335
423	3185	4327
424	3193	4320
425	3200	4313
426	3208	4305
427	3216	4298
428	3223	4290
429	3230	4282
430	3238	4275
431	3245	4267
432	3253	4260
433	3261	4253
434	3268	4245
435	3276	4238
436	3283	4230
437	3289	4220
438	3297	4213
439	3303	4203
440	3310	4196
441	3318	4188
442	3325	4181
443	3333	4174
444	3340	4166
445	3349	4160
446	3356	4152
447	3362	4142
448	3369	4135
449	3377	4128
450	3384	4120
451	3391	4111
452	3398	4104
453	3404	4094
454	3412	4087
455	3419	4079
456	3427	4072
457	3433	4062
458	3440	4055
459	3448	4048
460	3454	4038
461	3460	4029
462	3468	4023
463	3474	4014
464	3482	4007
465	3490	4000
466	3498	3993
467	3506	3986
468	3513	3977
469	3518	3968
470	3526	3960
471	3532	3951
472	3539	3943
473	3545	3934
474	3551	3925
475	3557	3915
476	3563	3907
477	3571	3900
478	3578	3892
479	3586	3884
480	3593	3877
481	3599	3868
482	3605	3858
483	3612	3851
484	3618	3842
485	3624	3833
486	3631	3825
487	3639	3818
488	3646	3810
489	3654	3803
490	3661	3796
491	3669	3788
492	3675	3779
493	3680	3770
494	3688	3762
495	3696	3755
496	3702	3746
497	3708	3737
498	3716	3730
499	3723	3723
500	3731	3716
501	3738	3709
502	3746	3701
503	3754	3694
504	3761	3687
505	3767	3678
506	3775	3671
507	3783	3664
508	3791	3656
509	3798	3649
510	3804	3640
511	3812	3633
512	3820	3626
513	3826	3617
514	3833	3610
515	3839	3601
516	3845	3592
517	3853	3585
518	3860	3578
519	3866	3569
520	3874	3561
521	3881	3554
522	3889	3547
523	3896	3539
524	3904	3532
525	3912	3525
526	3918	3516
527	3926	3509
528	3931	3500
529	3939	3493
530	3946	3485
531	3961	3484
532	3970	3478
533	3977	3471
534	3985	3464
535	3993	3456
536	4000	3449
537	4006	3440
538	4012	3432
539	4020	3424
540	4026	3416
541	4032	3407
542	4039	3399
543	4047	3392
544	4053	3383
545	4060	3376
546	4068	3368
547	4073	3360
548	4079	3351
549	4087	3344
550	4095	3337
551	4102	3329
552	4110	3322
553	4117	3315
554	4123	3306
555	4129	3297
556	4137	3290
557	4144	3282
558	4152	3275
559	4159	3268
560	4167	3261
561	4174	3253
562	4182	3246
563	4189	3238
564	4197	3231
565	4204	3223
566	4211	3216
567	4219	3208
568	4226	3201
569	4234	3194
570	4241	3186
571	4249	3179
572	4262	3176
573	4270	3169
574	4277	3161
575	4284	3154
576	4290	3145
577	4297	3137
578	4305	3130
579	4311	3121
580	4316	3113
581	4323	3104
582	4330	3097
583	4336	3089
584	4344	3081
585	4349	3073
586	4355	3064
587	4361	3056
588	4367	3047
589	4375	3040
590	4382	3033
591	4388	3024
592	4394	3016
593	4400	3007
594	4408	3000
595	4415	2993
596	4423	2985
597	4430	2978
598	4438	2971
599	4447	2964
600	4454	2957
601	4462	2950
602	4468	2942
603	4475	2933
604	4482	2926
605	4490	2919
606	4497	2912
607	4504	2903
608	4510	2895
609	4517	2888
610	4524	2880
611	4532	2873
612	4539	2865
613	4546	2858
614	4553	2850
615	4560	2842
616	4567	2835
617	4573	2827
618	4581	2819
619	4587	2811
620	4595	2804
621	4602	2797
622	4610	2789
623	4618	2782
624	4625	2775
625	4631	2767
626	4638	2759
627	4646	2752
628	4653	2745
629	4661	2737
630	4669	2730
631	4676	2723
632	4684	2715
633	4691	2708
634	4699	2701
635	4707	2694
636	4714	2686
637	4722	2679
638	4729	2672
639	4737	2664
640	4744	2657
641	4752	2650
642	4760	2643
643	4769	2636
644	4776	2629
645	4784	2621
646	4791	2614
647	4798	2606
648	4806	2599
649	4813	2592
650	4821	2584
651	4828	2577
652	4836	2570
653	4844	2562
654	4851	2555
655	4859	2548
656	4867	2541
657	4874	2533
658	4882	2526
659	4890	2519
660	4898	2512
661	4905	2504
662	4913	2497
663	4921	2490
664	4928	2482
665	4936	2475
666	4943	2468
667	4951	2460
668	4959	2453
669	4966	2446
670	4974	2439
671	4982	2431
672	4990	2424
673	4997	2417
674	5005	2409
675	5012	2402
676	5020	2395
677	5027	2387
678	5035	2380
679	5043	2373
680	5050	2365
681	5058	2358
682	5066	2351
683	5073	2344
684	5081	2336
685	5088	2329
686	5096	2322
687	5104	2314
688	5111	2307
689	5119	2300
690	5127	2292
691	5134	2285
692	5142	2278
693	5149	2270
694	5157	2263
695	5165	2256
696	5172	2248
697	5180	2241
698	5188	2234
699	5195	2226
700	5203	2219
701	5211	2212
702	5219	2204
703	5226	2197
704	5234	2190
705	5241	2182
706	5249	2175
707	5258	2168
708	5265	2161
709	5273	2153
710	5281	2146
711	5288	2139
712	5296	2131
713	5303	2124
714	5311	2117
715	5319	2109
716	5326	2102
717	5334	2095
718	5341	2087
719	5349	2080
720	5356	2072
721	5364	2065
722	5371	2058
723	5379	2050
724	5386	2043
725	5394	2035
726	5401	2028
727	5409	2021
728	5416	2013
729	5424	2006
730	5431	1998
731	5438	1991
732	5446	1983
733	5453	1976
734	5461	1969
735	5469	1961
736	5474	1953
737	5481	1946
738	5489	1938
739	5496	1931
740	5504	1923
741	5509	1915
742	5514	1907
743	5522	1900
744	5529	1892
745	5537	1885
746	5544	1877
747	5552	1870
748	5557	1862
749	5564	1854
750	5571	1847
751	5577	1839
752	5584	1831
753	5591	1824
754	5599	1817
755	5606	1809
756	5614	1802
757	5619	1794
758	5627	1786
759	5634	1779
760	5642	1772
761	5649	1764
762	5655	1756
763	5660	1748
764	5668	1741
765	5675	1733
766	5683	1726
767	5690	1718
768	5697	1711
769	5705	1704
770	5712	1696
771	5720	1689
772	5727	1682
773	5740	1676
774	5752	1669
775	5759	1662
776	5767	1655
777	5774	1647
778	5780	1639
779	5787	1632
780	5792	1624
781	5798	1616
782	5805	1608
783	5813	1601
784	5818	1593
785	5826	1586
786	5833	1578
787	5839	1570
788	5844	1562
789	5852	1555
790	5859	1548
791	5867	1540
792	5872	1532
793	5879	1525
794	5887	1518
795	5894	1510
796	5902	1503
797	5909	1495
798	5916	1488
799	5923	1480
800	5930	1473
801	5937	1465
802	5945	1458
803	5952	1451
804	5960	1443
805	5967	1436
806	5983	1431
807	5991	1423
808	5999	1416
809	6006	1409
810	6012	1401
811	6019	1393
812	6027	1386
813	6034	1378
814	6041	1371
815	6049	1364
816	6056	1356
817	6064	1349
818	6074	1342
819	6081	1334
820	6089	1327
821	6094	1319
822	6101	1312
823	6109	1304
824	6114	1297
825	6122	1289
826	6129	1282
827	6134	1274
828	6140	1266
829	6147	1259
830	6155	1251
831	6162	1244
832	6170	1236
833	6177	1229
834	6184	1222
835	6192	1214
836	6199	1207
837	6207	1199
838	6214	1192
839	6222	1185
840	6229	1177
841	6237	1170
842	6244	1162
843	6252	1155
844	6257	1147
845	6262	1140
846	6270	1132
847	6278	1125
848	6285	1117
849	6293	1110
850	6300	1103
851	6306	1095
852	6313	1088
853	6321	1080
854	6329	1073
855	6337	1066
856	6345	1058
857	6352	1051
858	6360	1043
859	6373	1037
860	6380	1030
861	6388	1022
862	6395	1015
863	6403	1007
864	6410	1000
865	6418	993
866	6426	985
867	6433	978
868	6441	971
869	6449	963
870	6456	956
871	6464	948
872	6472	941
873	6479	934
874	6487	926
875	6494	919
876	6502	911
877	6509	904
878	6517	897
879	6524	889
880	6532	882
881	6539	874
882	6547	867
883	6555	860
884	6562	852
885	6570	845
886	6576	837
887	6583	830
888	6591	822
889	6598	815
890	6606	808
891	6614	800
892	6621	793
893	6629	786
894	6637	778
895	6644	771
896	6652	763
897	6660	756
898	6667	749
899	6675	741
900	6681	734
901	6688	726
902	6696	719
903	6704	711
904	6711	704
905	6719	697
906	6726	689
907	6734	682
908	6742	674
909	6749	667
910	6758	660
911	6765	652
912	6772	645
913	6780	638
914	6788	630
915	6795	623
916	6803	615
917	6811	608
918	6817	600
919	6825	593
920	6832	586
921	6840	578
922	6847	571
923	6855	563
924	6863	556
925	6869	549
926	6877	541
927	6884	534
928	6892	526
929	6900	519
930	6907	511
931	6915	504
932	6922	497
933	6929	489
934	6936	482
935	6944	474
936	6951	467
937	6958	459
938	6965	452
939	6972	445
940	6980	437
941	6988	430
942	6995	422
943	7003	415
944	7010	408
945	7018	400
946	7025	393
947	7031	385
948	7038	378
949	7045	370
950	7052	363
951	7060	355
952	7067	348
953	7077	341
954	7085	333
955	7092	326
956	7099	319
957	7106	311
958	7113	304
959	7120	296
960	7128	289
961	7135	281
962	7142	274
963	7150	267
964	7157	259
965	7165	252
966	7171	244
967	7179	237
968	7186	229
969	7193	222
970	7200	215
971	7207	207
972	7214	200
973	7221	192
974	7229	185
975	7236	177
976	7244	170
977	7251	163
978	7258	155
979	7266	148
980	7273	140
981	7281	133
982	7288	126
983	7296	118
984	7303	111
985	7310	103
986	7318	96
987	7325	88
988	7332	81
989	7340	74
990	7348	66
991	7354	59
992	7362	51
993	7368	44
994	7375	37
995	7383	29
996	7390	22
997	7398	14
998	7405	7
999	7413	0
