iter	RMSE
243	0.3807019121
244	0.3805914381
245	0.3799423398
246	0.3798674002
247	0.3796128624
248	0.3794556915
249	0.3793088763
250	0.3760015612
251	0.3759431406
252	0.3757237012
253	0.3752685508
254	0.3751525843
255	0.3749315401
256	0.3747712341
257	0.3747244006
258	0.3744357258
259	0.3743894222
260	0.3743457525
261	0.3740716817
262	0.3740317617
263	0.3734947463
264	0.3733226035
265	0.3732867212
266	0.3727951841
267	0.3726385702
268	0.3726040218
269	0.3723518758
270	0.3720126361
271	0.3703471757
272	0.3702598266
273	0.3700948716
274	0.3700128042
275	0.3672119588
276	0.3671353627
277	0.3670229591
278	0.3664403792
279	0.3663874314
280	0.3663391664
281	0.3662678586
282	0.3659423013
283	0.3656246823
284	0.3655240246
285	0.3654486521
286	0.3653108746
287	0.364697939
288	0.3646096431
289	0.3645209944
290	0.3642096424
291	0.3641295352
292	0.3640996978
293	0.3638463205
294	0.3638164146
295	0.3637262445
296	0.3636669388
297	0.3636319456
298	0.363322627
299	0.3630747404
300	0.3607026164
301	0.360675905
302	0.3606754179
303	0.3606443205
304	0.3597648575
305	0.3597325216
306	0.3575742464
307	0.3575516004
308	0.3571443864
309	0.3570733949
310	0.3569117588
311	0.3568391518
312	0.356818413
313	0.356760975
314	0.3545235615
315	0.3533258567
316	0.3531759202
317	0.3531468362
318	0.3531285078
319	0.3531171901
320	0.3531064006
321	0.3530903402
322	0.3530752585
323	0.3519284731
324	0.3510473793
325	0.3510334766
326	0.3510204335
327	0.3507891909
328	0.350777203
329	0.3507659503
330	0.3488808349
331	0.3488806775
332	0.3488596072
333	0.3487886765
334	0.3487787762
335	0.3485588828
336	0.3485324377
337	0.3484653474
338	0.3482524444
339	0.3482434747
340	0.3482113775
341	0.3482029901
342	0.3482028166
343	0.3481848902
344	0.3480322815
345	0.3480321395
346	0.3470612538
347	0.3470538668
348	0.3453912851
349	0.3453750248
350	0.3453593996
351	0.3453592883
352	0.3453592088
353	0.3453046501
354	0.3452851583
355	0.344985694
356	0.3449795038
357	0.3447948761
358	0.3447810079
359	0.344268529
360	0.3441008462
361	0.3440879712
362	0.3440755743
363	0.3439526981
364	0.3439037109
365	0.3436896113
366	0.3433607772
367	0.3432439467
368	0.3431640006
369	0.3431639366
370	0.3423318905
371	0.3423318584
372	0.3423318103
373	0.3421335915
374	0.3408561863
375	0.3408452825
376	0.3407674157
377	0.3407568796
378	0.3407467459
379	0.3407370148
380	0.3406573667
381	0.3405439935
382	0.3405439774
383	0.3404481755
384	0.3402332891
385	0.3401651914
386	0.3400969187
387	0.3400328622
388	0.3400237564
389	0.3398669178
390	0.3394503757
391	0.3394502625
392	0.3394501978
393	0.3380376308
394	0.3380375333
395	0.3379767574
396	0.3379264004
397	0.3379238985
398	0.3378967999
399	0.3378944441
400	0.3378943791
401	0.3378380949
402	0.3376829561
403	0.3376807289
404	0.3376786642
405	0.337675559
406	0.3376228643
407	0.3376228156
408	0.3376209294
409	0.3376208806
410	0.3375651363
411	0.3372606566
412	0.337213188
413	0.3371684482
414	0.3371684319
415	0.3371683831
416	0.3371608282
417	0.3371187032
418	0.3370691137
419	0.3370672895
420	0.3370386724
421	0.3370315543
422	0.3369940885
423	0.3369189327
424	0.3367905114
425	0.336788751
426	0.3367820515
427	0.3364093595
428	0.3363388554
429	0.3363325713
430	0.3362590634
431	0.3362246465
432	0.3362185562
433	0.336185964
434	0.3361254577
435	0.3361240204
436	0.3360837746
437	0.3360836603
438	0.3360823208
439	0.3360822392
440	0.3360809977
441	0.3355140998
442	0.335484221
443	0.3354559434
444	0.3353952235
445	0.3353940941
446	0.3353885944
447	0.3353885616
448	0.3352601109
449	0.335177589
450	0.3350664577
451	0.3350656385
452	0.3346855404
453	0.3346855076
454	0.3346633303
455	0.3346210058
456	0.3345879626
457	0.3345879298
458	0.3345575089
459	0.3345366852
460	0.3345366688
461	0.3345366195
462	0.334535996
463	0.3345359631
464	0.334510543
465	0.3344864175
466	0.3344397206
467	0.3344224354
468	0.334421828
469	0.3344217952
470	0.3344209087
471	0.3344208595
472	0.3344048702
473	0.3344048209
474	0.3344047717
475	0.3344047717
476	0.3344042464
477	0.3343703445
478	0.334315848
479	0.3342639869
480	0.3342147294
481	0.334214713
482	0.3342146965
483	0.334167781
484	0.3341677481
485	0.3341677317
486	0.3341259852
487	0.3340816371
488	0.3340393539
489	0.3339990377
490	0.3339840802
491	0.3339702726
492	0.3339702233
493	0.333970174
494	0.3339658508
495	0.3332622663
496	0.3332622663
497	0.3332622334
498	0.33322352
499	0.3332097634
500	0.3331970606
501	0.333159625
502	0.3331237837
503	0.3330282375
504	0.3329946737
505	0.3329946407
506	0.3329625738
507	0.3329524667
508	0.3329220283
509	0.3328537212
510	0.3328536553
511	0.3328249727
512	0.3328050963
513	0.3328050303
514	0.3327779107
515	0.3327778777
516	0.3327778117
517	0.3327659998
518	0.3327483472
519	0.3327483307
520	0.3327189295
521	0.3326932715
522	0.3326822982
523	0.3326577265
524	0.3326415535
525	0.3316267713
526	0.3316267216
527	0.3313187066
528	0.33131869
529	0.3312384014
530	0.3312151647
531	0.3312148663
532	0.3311926556
533	0.3311014268
534	0.3310533073
535	0.3306784087
536	0.3306576894
537	0.3306576727
538	0.3306576561
539	0.3306307257
540	0.3306307257
541	0.3306307257
542	0.3305889643
543	0.3305695679
544	0.3305695513
545	0.3305510008
546	0.3305454869
547	0.3305454869
548	0.3305454703
549	0.3305277655
550	0.3305061896
551	0.3304893963
552	0.3304732832
553	0.3304708081
554	0.3304707914
555	0.3304707582
556	0.3304215832
557	0.3304064638
558	0.330391975
559	0.3290565813
560	0.3290561142
561	0.3290173231
562	0.32895433
563	0.3289539128
564	0.3289403781
565	0.3289273769
566	0.3289085669
567	0.3288962154
568	0.3288622799
569	0.3288505277
570	0.3288392759
571	0.3288285078
572	0.3288284578
573	0.3288125304
574	0.3288022958
575	0.3287875527
576	0.3287875527
577	0.3281051568
578	0.3280956698
579	0.3280956363
580	0.3280956196
581	0.3280955861
582	0.3280864837
583	0.3280864669
584	0.3280706542
585	0.3280706542
586	0.3280706542
587	0.3280706542
588	0.3280706207
589	0.3280322821
590	0.3279962487
591	0.3279962487
592	0.327996232
593	0.3279962487
594	0.3279879135
595	0.327979896
596	0.3279721964
597	0.3279647812
598	0.3269896481
599	0.3269893291
600	0.3269758642
601	0.3269692155
602	0.3269691819
603	0.3269691483
604	0.3269664787
605	0.3269639266
606	0.326954205
607	0.3269541546
608	0.3269541211
609	0.3269451715
610	0.3269427704
611	0.3269318727
612	0.3269296058
613	0.3269274565
614	0.3266447251
615	0.3266446747
616	0.3266427252
617	0.3266427084
618	0.3266406579
619	0.3266406243
620	0.326638742
621	0.3266070932
622	0.3266053451
623	0.3265761642
624	0.3265745168
625	0.3265745168
626	0.3265744832
627	0.3255945961
628	0.3255942589
629	0.3255889477
630	0.3255838051
631	0.3245467189
632	0.3242211078
633	0.3242156556
634	0.3242104404
635	0.3242053944
636	0.3242005007
637	0.3239969333
638	0.3239962556
639	0.3239918332
640	0.3239913079
641	0.3239908504
642	0.3228140917
643	0.3223869257
644	0.3223806251
645	0.3223786498
646	0.3221352487
647	0.3221340898
648	0.3218863765
649	0.3218818911
650	0.3218713337
651	0.3211446202
652	0.3211434748
653	0.321142603
654	0.3211382439
655	0.3211338164
656	0.3210872293
657	0.3210829891
658	0.3210788856
659	0.3210749189
660	0.3210363434
661	0.3210356423
662	0.3210350095
663	0.3210313501
664	0.3210277932
665	0.321024373
666	0.3210210726
667	0.320514451
668	0.3205110253
669	0.3199598987
670	0.3196444198
671	0.3196412253
672	0.3196380823
673	0.3190989705
674	0.3190959082
675	0.3190943426
676	0.3188594361
677	0.3188562682
678	0.3183268696
679	0.3183235757
680	0.3178383043
681	0.3178350571
682	0.3174190738
683	0.3166591561
684	0.316471936
685	0.3164650145
686	0.3161808103
687	0.3159366308
688	0.3159309488
689	0.3152178657
690	0.3149762512
691	0.3149685998
692	0.31496731
693	0.3139200532
694	0.3139154364
695	0.3132855504
696	0.3129639576
697	0.3125940408
698	0.3123068413
699	0.31116469
700	0.3106294996
701	0.310098431
702	0.3093972787
703	0.3091110339
704	0.3089872231
705	0.3087508678
706	0.3080664827
707	0.3080589982
708	0.3077809087
709	0.3075930322
710	0.3073903608
711	0.3069491708
712	0.3069384576
713	0.3067517294
714	0.3065701342
715	0.3063334373
716	0.3061642714
717	0.3059407904
718	0.3059331641
719	0.305929019
720	0.3057172538
721	0.3056917358
722	0.3056553677
723	0.3056396877
724	0.3054855568
725	0.3053279678
726	0.3049000885
727	0.3047601026
728	0.3043374497
729	0.3041974756
730	0.3039170812
731	0.3037789374
732	0.3035217605
733	0.3033946013
734	0.3032728645
735	0.3030052573
736	0.303004904
737	0.3027987628
738	0.302677394
739	0.3025830107
740	0.3024710206
741	0.3024707392
742	0.3024704851
743	0.3023632284
744	0.3022605741
745	0.3021537788
746	0.3020551063
747	0.3019589923
748	0.3019588014
749	0.3018681671
750	0.3018645936
751	0.3018644572
752	0.3017775875
753	0.3016943139
754	0.3016145211
755	0.3015380207
756	0.3015343977
757	0.3015342884
758	0.3014610364
759	0.3013907174
760	0.3013233973
761	0.3012935807
762	0.3012934713
763	0.3012933802
764	0.3008867763
765	0.3008223819
766	0.3007606203
767	0.300757928
768	0.3006987092
769	0.3006418982
770	0.3005874415
771	0.3005004219
772	0.300449457
773	0.3004007038
774	0.2998949526
775	0.2998640054
776	0.2993415026
777	0.2992941556
778	0.2992940547
779	0.2992487089
780	0.2992486172
781	0.2992485347
782	0.2992050351
783	0.2991633185
784	0.2991632451
785	0.299123211
786	0.2990847961
787	0.2990847502
788	0.2990846767
789	0.298905862
790	0.2988699539
791	0.2988355296
792	0.2988354744
793	0.2988024241
794	0.2987707297
795	0.298767064
796	0.2987366247
797	0.2987074229
798	0.2986436615
799	0.2986165464
800	0.2985552479
801	0.2985301016
802	0.2985059554
803	0.2984827729
804	0.2982370161
805	0.2982150001
806	0.2981938477
807	0.2981900276
808	0.2975160574
809	0.2974956396
810	0.2974956211
811	0.2974760324
812	0.297457199
813	0.2974391581
814	0.2973020205
815	0.2972848196
816	0.2967338368
817	0.2967338091
818	0.2967173431
819	0.2967173153
820	0.2966825209
821	0.2966824377
822	0.2966800321
823	0.2966237285
824	0.2966237099
825	0.2966085149
826	0.2966062384
827	0.2966062384
828	0.2966062199
829	0.2964458737
830	0.2961805224
831	0.2961654066
832	0.2961468698
833	0.2961323548
834	0.2961184415
835	0.2959909951
836	0.2959880183
837	0.295974497
838	0.2959615409
839	0.2959490758
840	0.295937111
841	0.295888644
842	0.2958396959
843	0.2952163096
844	0.2952163003
845	0.2952163003
846	0.2952054681
847	0.2951950818
848	0.2951851043
849	0.2951829656
850	0.2951733875
851	0.2951733224
852	0.295161289
853	0.295152445
854	0.2951118575
855	0.2951037654
856	0.2946742767
857	0.2946665265
858	0.2946590556
859	0.2946573043
860	0.2946501406
861	0.2946432655
862	0.2946391385
863	0.294387898
864	0.2943862849
865	0.2943799911
866	0.2943739769
867	0.294372429
868	0.2943704429
869	0.2943646243
870	0.2943254111
871	0.2943240681
872	0.2943228184
873	0.2943216806
874	0.2943163554
875	0.2943152362
876	0.2943141917
877	0.2943132404
878	0.2943123077
879	0.2943071688
880	0.2943022257
881	0.294268433
882	0.2941752707
883	0.29417068
884	0.2941662664
885	0.2941552369
886	0.2941552089
887	0.2941049363
888	0.2941006245
889	0.2940997285
890	0.2938546122
891	0.2938503714
892	0.2938495494
893	0.2938454673
894	0.2938415626
895	0.2938378073
896	0.2935751944
897	0.2935714731
898	0.2935679201
899	0.2931591029
900	0.2931590561
901	0.2931554419
902	0.2931519494
903	0.2931129579
904	0.2930813039
905	0.2928239649
906	0.292820684
907	0.2928175156
908	0.2927879766
909	0.2927851453
910	0.2927824172
911	0.2927539716
912	0.2927515525
913	0.2917570894
914	0.2917561298
915	0.291233435
916	0.2912308054
917	0.2912283077
918	0.2912283077
919	0.2912259137
920	0.2912236139
921	0.2911955816
922	0.2911935455
923	0.2911915754
924	0.2911896902
925	0.2911646996
926	0.2911630404
927	0.2911388113
928	0.291137331
929	0.2911359263
930	0.2911350589
931	0.2911116665
932	0.2911104314
933	0.2910877254
934	0.291086905
935	0.2910858301
936	0.2910847739
937	0.2910628487
938	0.2910414783
939	0.2910407144
940	0.291039875
941	0.2910391582
942	0.291038366
943	0.2910375926
944	0.2910151263
945	0.291000874
946	0.2909805934
947	0.2909608207
948	0.2909415373
949	0.2909227621
950	0.2909220922
951	0.2909020607
952	0.2908842077
953	0.2908667878
954	0.2908664763
955	0.2908661838
956	0.2908655798
957	0.2908486589
958	0.2907641811
959	0.2907477641
960	0.2907475375
961	0.2907299111
962	0.2907280984
963	0.2907279001
964	0.2907277301
965	0.2907106879
966	0.290695552
967	0.2906953726
968	0.290695231
969	0.2906805004
970	0.2903618718
971	0.2903613046
972	0.2903607469
973	0.2903606051
974	0.2903156509
975	0.2903154902
976	0.2903011563
977	0.290301005
978	0.290285706
979	0.2902855641
980	0.2902716354
981	0.290230564
982	0.2902304222
983	0.2902302803
984	0.2902165665
985	0.2902164152
986	0.2902162827
987	0.2902161598
988	0.2902160368
989	0.2902041194
990	0.2896121642
991	0.2896115765
992	0.2896007716
993	0.2895876725
994	0.2895875304
995	0.2895874071
996	0.2895424846
997	0.2895423709
998	0.2895422287
999	0.2895421244
